longitude,latitude,species_name,source
34.8569198627,0.3481326899,Cyrestis camillus,iNaturalist
34.8977079492,0.2287241852,Evena crithea,iNaturalist
34.8853161437,0.2279946302,Junonia gregorii,iNaturalist
34.8853161437,0.2279946302,Nymphalidae,iNaturalist
34.8853161437,0.2279946302,Acraeini,iNaturalist
34.8853161437,0.2279946302,Papilio phorcas,iNaturalist
34.8853161437,0.2279946302,Hypolimnas monteironis,iNaturalist
34.8853161437,0.2279946302,Papilio lormieri,iNaturalist
34.8853161437,0.2279946302,Telchinia cabira,iNaturalist
34.8853161437,0.2279946302,Pseudacraea lucretia,iNaturalist
34.8853161437,0.2279946302,Telchinia,iNaturalist
34.901238,0.223122,Pseudacraea lucretia,iNaturalist
34.92364,0.210245,Hesperiidae,iNaturalist
34.902108,0.222687,Telchinia,iNaturalist
34.900407,0.22375,Cymothoe,iNaturalist
34.886498,0.231845,Anthene,iNaturalist
34.866452,0.238867,Evena crithea,iNaturalist
34.866443,0.238977,Adoliadini,iNaturalist
34.866442,0.238902,Euphaedra,iNaturalist
34.866373,0.239082,Euriphene,iNaturalist
34.86556,0.23973,Junonia gregorii,iNaturalist
34.866382,0.236313,Hypolimnas monteironis,iNaturalist
34.792384,-0.046635,Papilio demodocus,iNaturalist
34.8738393996,0.2278920442,Protogoniomorpha parhassus,iNaturalist
34.8729391524,0.2289598641,Junonia gregorii,iNaturalist
34.8700415205,0.2291150632,Evena crithea,iNaturalist
34.8668861389,0.2302227342,Papilio phorcas,iNaturalist
34.8847046,0.2270505,Protogoniomorpha parhassus,iNaturalist
34.8945751293,0.2255055596,Amauris tartarea tartarea,iNaturalist
34.8922577015,0.2239606188,Euphaedra,iNaturalist
34.8922577015,0.2239606188,Telchinia lycoa,iNaturalist
34.8922577015,0.2239606188,Papilio phorcas,iNaturalist
34.89781,0.22457,Nymphalidae,iNaturalist
34.923148,0.212681,Papilio phorcas,iNaturalist
34.923148,0.212681,Celaenorrhinus larseni,iNaturalist
34.923148,0.212681,Amauris,iNaturalist
34.8689011815,0.3505251534,Precis ceryne,iNaturalist
34.8689011815,0.3505251534,Rubraea egina,iNaturalist
34.8689011815,0.3505251534,Papilio echerioides joiceyi,iNaturalist
34.8689011815,0.3505251534,Cymothoe herminia,iNaturalist
34.8689011815,0.3505251534,Papilio phorcas,iNaturalist
34.8689011815,0.3505251534,Hypolimnas dinarcha,iNaturalist
34.8689011815,0.3505251534,Limenitidinae,iNaturalist
34.8689011815,0.3505251534,Pseudoneptis bugandensis,iNaturalist
34.8689011815,0.3505251534,Pseudacraea lucretia,iNaturalist
34.8689011815,0.3505251534,Euriphene,iNaturalist
34.8689011815,0.3505251534,Charaxes,iNaturalist
34.8689011815,0.3505251534,Euptera hirundo,iNaturalist
34.8689011815,0.3505251534,Nymphalidae,iNaturalist
34.8689011815,0.3505251534,Satyrini,iNaturalist
34.8689011815,0.3505251534,Afriodinia,iNaturalist
34.8689011815,0.3505251534,Amauris niavius,iNaturalist
34.8689011815,0.3505251534,Papilio lormieri,iNaturalist
34.8689011815,0.3505251534,Nireopapilio,iNaturalist
34.8689011815,0.3505251534,Mylothris,iNaturalist
34.8689011815,0.3505251534,Papilio dardanus,iNaturalist
34.8689011815,0.3505251534,Protogoniomorpha parhassus,iNaturalist
34.8689011815,0.3505251534,Hesperiinae,iNaturalist
34.8689011815,0.3505251534,Telchinia lycoa,iNaturalist
34.8689011815,0.3505251534,Junonia temora,iNaturalist
34.8689011815,0.3505251534,Pardaleodes,iNaturalist
34.8689011815,0.3505251534,Hypolimnas dinarcha grandis,iNaturalist
34.8689011815,0.3505251534,Euphaedra,iNaturalist
34.8689011815,0.3505251534,Aterica galene,iNaturalist
34.8689011815,0.3505251534,Euphaedra medon,iNaturalist
34.8689011815,0.3505251534,Telchinia penelope,iNaturalist
34.8689011815,0.3505251534,Junonia gregorii,iNaturalist
34.8689011815,0.3505251534,Evena crithea,iNaturalist
34.8689011815,0.3505251534,Hypolimnas monteironis,iNaturalist
34.8845119226,0.2259928587,Junonia temora,iNaturalist
