longitude,latitude,species_name,common_name
34.8846355409,0.2269415611,Junonia gregorii,Gregori’s Brown Pansy
34.8846355409,0.2269415611,Leptosia,Wood Whites
34.9024666667,0.2220816667,Bebearia,
34.8979133333,0.224645,Telchinia,
34.9006933333,0.2233283333,Euphaedra rex,
34.898375,0.22458,Cymothoe herminia,Herminia Glider
34.8979483333,0.2246383333,Telchinia acerata,Falls Acraea
34.8977033333,0.22469,Nymphalidae,Brush-footed Butterflies
34.8995733333,0.2239216667,Nymphalidae,Brush-footed Butterflies
34.901875,0.2229166667,Euptera elabontas,
34.852971651,0.3422963091,Hypolimnas monteironis major,
34.8569198627,0.3481326899,Aterica galene,Forest Glade Nymph
34.8569198627,0.3481326899,Evena,Pathfinders
34.8569198627,0.3481326899,Nymphalidae,Brush-footed Butterflies
34.8569198627,0.3481326899,Junonia gregorii,Gregori’s Brown Pansy
34.8569198627,0.3481326899,Telchinia bonasia,Orange-streak Acraea
34.8569198627,0.3481326899,Rubraea egina,Elegant Acraea
34.8569198627,0.3481326899,Charaxini,Dragon-headed Caterpillars
34.8569198627,0.3481326899,Euphaedra,
34.8569198627,0.3481326899,Precis octavia,Gaudy Commodore
34.8569198627,0.3481326899,Cyrestis camillus,African Map Butterfly
34.8977079492,0.2287241852,Evena crithea,Common Pathfinder
34.8853161437,0.2279946302,Junonia gregorii,Gregori’s Brown Pansy
34.8853161437,0.2279946302,Nymphalidae,Brush-footed Butterflies
34.8853161437,0.2279946302,Acraeini,"Acraeas, Actinotes, and Allies"
34.8853161437,0.2279946302,Papilio phorcas,Apple-green Swallowtail
34.8853161437,0.2279946302,Hypolimnas monteironis,Scarce Blue Diadem
34.8853161437,0.2279946302,Papilio lormieri,Central Emperor Swallowtail
34.8853161437,0.2279946302,Telchinia cabira,Yellow-banded Amber
34.8853161437,0.2279946302,Pseudacraea lucretia,False Chief
34.8853161437,0.2279946302,Telchinia,
34.901238,0.223122,Pseudacraea lucretia,False Chief
34.92364,0.210245,Hesperiidae,Skippers
34.902108,0.222687,Telchinia,
34.900407,0.22375,Cymothoe,typical gliders
34.886498,0.231845,Anthene,
34.866452,0.238867,Evena crithea,Common Pathfinder
34.866443,0.238977,Adoliadini,
34.866442,0.238902,Euphaedra,
34.866373,0.239082,Euriphene,
34.86556,0.23973,Junonia gregorii,Gregori’s Brown Pansy
34.866382,0.236313,Hypolimnas monteironis,Scarce Blue Diadem
34.792384,-0.046635,Papilio demodocus,Citrus Swallowtail
34.8738393996,0.2278920442,Protogoniomorpha parhassus,Common Mother-of-Pearl
34.8729391524,0.2289598641,Junonia gregorii,Gregori’s Brown Pansy
34.8700415205,0.2291150632,Evena crithea,Common Pathfinder
34.8668861389,0.2302227342,Papilio phorcas,Apple-green Swallowtail
34.8847046,0.2270505,Protogoniomorpha parhassus,Common Mother-of-Pearl
34.8945751293,0.2255055596,Amauris tartarea tartarea,
34.8922577015,0.2239606188,Euphaedra,
34.8922577015,0.2239606188,Telchinia lycoa,Lycoa Acraea
34.8922577015,0.2239606188,Papilio phorcas,Apple-green Swallowtail
34.89781,0.22457,Nymphalidae,Brush-footed Butterflies
34.923148,0.212681,Papilio phorcas,Apple-green Swallowtail
34.923148,0.212681,Celaenorrhinus larseni,Larsen’s Sprite
34.923148,0.212681,Amauris,Clerics
34.8689011815,0.3505251534,Precis ceryne,Marsh Commodore
34.8689011815,0.3505251534,Rubraea egina,Elegant Acraea
34.8689011815,0.3505251534,Papilio echerioides joiceyi,
34.8689011815,0.3505251534,Cymothoe herminia,Herminia Glider
34.8689011815,0.3505251534,Papilio phorcas,Apple-green Swallowtail
34.8689011815,0.3505251534,Hypolimnas dinarcha,Large Variable Diadem
34.8689011815,0.3505251534,Limenitidinae,Admirals and Allies
34.8689011815,0.3505251534,Pseudoneptis bugandensis,Blue Sailer
34.8689011815,0.3505251534,Pseudacraea lucretia,False Chief
34.8689011815,0.3505251534,Euriphene,
34.8689011815,0.3505251534,Charaxes,Emperor Butterflies
34.8689011815,0.3505251534,Euptera hirundo,
34.8689011815,0.3505251534,Nymphalidae,Brush-footed Butterflies
34.8689011815,0.3505251534,Satyrini,"Alpines, Arctics, Nymphs and Satyrs"
34.8689011815,0.3505251534,Afriodinia,
34.8689011815,0.3505251534,Amauris niavius,Friar
34.8689011815,0.3505251534,Euriphene,
34.8689011815,0.3505251534,Papilio lormieri,Central Emperor Swallowtail
34.8689011815,0.3505251534,Nireopapilio,
34.8689011815,0.3505251534,Papilio phorcas,Apple-green Swallowtail
34.8689011815,0.3505251534,Afriodinia,
34.8689011815,0.3505251534,Mylothris,Dotted Borders
34.8689011815,0.3505251534,Euriphene,
34.8689011815,0.3505251534,Papilio dardanus,Mocker Swallowtail
34.8689011815,0.3505251534,Protogoniomorpha parhassus,Common Mother-of-Pearl
34.8689011815,0.3505251534,Hesperiinae,Grass Skippers
34.8689011815,0.3505251534,Protogoniomorpha parhassus,Common Mother-of-Pearl
34.8689011815,0.3505251534,Telchinia lycoa,Lycoa Acraea
34.8689011815,0.3505251534,Junonia temora,Eastern Blue Mother-of-Pearl
34.8689011815,0.3505251534,Junonia temora,Eastern Blue Mother-of-Pearl
34.8689011815,0.3505251534,Pardaleodes,Pathfinders
34.8689011815,0.3505251534,Papilio dardanus,Mocker Swallowtail
34.8689011815,0.3505251534,Hypolimnas dinarcha grandis,
34.8689011815,0.3505251534,Charaxes,Emperor Butterflies
34.8689011815,0.3505251534,Euphaedra,
34.8689011815,0.3505251534,Aterica galene,Forest Glade Nymph
34.8689011815,0.3505251534,Euphaedra medon,Widespread Forester
34.8689011815,0.3505251534,Hesperiinae,Grass Skippers
34.8689011815,0.3505251534,Telchinia penelope,Penelope Acraea
34.8689011815,0.3505251534,Junonia gregorii,Gregori’s Brown Pansy
34.8689011815,0.3505251534,Evena crithea,Common Pathfinder
34.8689011815,0.3505251534,Junonia gregorii,Gregori’s Brown Pansy
34.8689011815,0.3505251534,Hypolimnas monteironis,Scarce Blue Diadem
34.8689011815,0.3505251534,Hesperiinae,Grass Skippers
34.8845119226,0.2259928587,Junonia temora,Eastern Blue Mother-of-Pearl
34.8845870244,0.2260290683,Junonia gregorii,Gregori’s Brown Pansy
34.8845870244,0.2260290683,Junonia sophia,Little Pansy
